"sequence" "support"
"533" "<{인하대},{인하,인하대,전국}>" 0.1344
"534" "<{대학},{인하,인하대,전국}>" 0.1024
"535" "<{센터,인하,인하대,전국}>" 0.1488
"536" "<{서울대,인하,인하대,전국}>" 0.1936
"537" "<{대학,인하,인하대,전국}>" 0.2352
"538" "<{대학,인하대},{인하,인하대,전국}>" 0.1024
"539" "<{서울대,센터,인하,인하대,전국}>" 0.1232
"540" "<{대학,센터,인하,인하대,전국}>" 0.1488
"541" "<{대학,서울대,센터,인하,인하대,전국}>" 0.1232
"542" "<{인하대},{서울대,인하,인하대,전국}>" 0.1072
"543" "<{대학,서울대,인하,인하대,전국}>" 0.1904
"544" "<{인하대},{대학,서울대,인하,인하대,전국}>" 0.1056
"545" "<{인하대},{대학,인하,인하대,전국}>" 0.1312
"546" "<{대학},{대학,인하,인하대,전국}>" 0.1008
"547" "<{대학,인하대},{대학,인하,인하대,전국}>" 0.1008
"548" "<{연구,이상,인하대,전국}>" 0.1024
"549" "<{서울대,이상,인하대,전국}>" 0.136
"550" "<{대학,이상,인하대,전국}>" 0.1312
"551" "<{서울대,연구,이상,인하대,전국}>" 0.1024
"552" "<{대학,연구,이상,인하대,전국}>" 0.1008
"553" "<{대학,서울대,연구,이상,인하대,전국}>" 0.1008
"554" "<{대학,서울대,이상,인하대,전국}>" 0.1312
"555" "<{대학,오늘,인하대,전국}>" 0.112
"556" "<{전국},{연구,인하대,전국}>" 0.1136
"557" "<{인하대},{연구,인하대,전국}>" 0.1824
"558" "<{서울대},{연구,인하대,전국}>" 0.1056
"559" "<{대학},{연구,인하대,전국}>" 0.136
"560" "<{센터,연구,인하대,전국}>" 0.2464
"561" "<{서울대,연구,인하대,전국}>" 0.2976
"562" "<{사업,연구,인하대,전국}>" 0.1184
"563" "<{대학,연구,인하대,전국}>" 0.3232
"564" "<{인하대,전국},{연구,인하대,전국}>" 0.1136
"565" "<{대학,전국},{연구,인하대,전국}>" 0.1072
"566" "<{대학,인하대,전국},{연구,인하대,전국}>" 0.1072
"567" "<{서울대,인하대},{연구,인하대,전국}>" 0.1056
"568" "<{대학,인하대},{연구,인하대,전국}>" 0.1328
"569" "<{대학,서울대,인하대},{연구,인하대,전국}>" 0.1024
"570" "<{대학,서울대},{연구,인하대,전국}>" 0.1024
"571" "<{인하대},{센터,연구,인하대,전국}>" 0.136
"572" "<{대학},{센터,연구,인하대,전국}>" 0.1104
"573" "<{서울대,센터,연구,인하대,전국}>" 0.2304
"574" "<{대학,센터,연구,인하대,전국}>" 0.2464
"575" "<{대학,인하대},{센터,연구,인하대,전국}>" 0.1088
"576" "<{인하대},{서울대,센터,연구,인하대,전국}>" 0.1248
"577" "<{대학},{서울대,센터,연구,인하대,전국}>" 0.104
"578" "<{대학,서울대,센터,연구,인하대,전국}>" 0.2304
"579" "<{대학,인하대},{서울대,센터,연구,인하대,전국}>" 0.1024
"580" "<{인하대},{대학,서울대,센터,연구,인하대,전국}>" 0.1248
"581" "<{대학},{대학,서울대,센터,연구,인하대,전국}>" 0.104
"582" "<{대학,인하대},{대학,서울대,센터,연구,인하대,전국}>" 0.1024
"583" "<{인하대},{대학,센터,연구,인하대,전국}>" 0.136
"584" "<{대학},{대학,센터,연구,인하대,전국}>" 0.1104
"585" "<{대학,인하대},{대학,센터,연구,인하대,전국}>" 0.1088
"586" "<{전국},{서울대,연구,인하대,전국}>" 0.1056
"587" "<{인하대},{서울대,연구,인하대,전국}>" 0.1648
"588" "<{서울대},{서울대,연구,인하대,전국}>" 0.1024
"589" "<{대학},{서울대,연구,인하대,전국}>" 0.1264
"590" "<{사업,서울대,연구,인하대,전국}>" 0.1136
"591" "<{대학,서울대,연구,인하대,전국}>" 0.2976
"592" "<{인하대,전국},{서울대,연구,인하대,전국}>" 0.1056
"593" "<{서울대,인하대},{서울대,연구,인하대,전국}>" 0.1024
"594" "<{대학,인하대},{서울대,연구,인하대,전국}>" 0.1232
"595" "<{대학,사업,서울대,연구,인하대,전국}>" 0.1136
"596" "<{전국},{대학,서울대,연구,인하대,전국}>" 0.104
"597" "<{인하대},{대학,서울대,연구,인하대,전국}>" 0.1632
"598" "<{서울대},{대학,서울대,연구,인하대,전국}>" 0.1008
"599" "<{대학},{대학,서울대,연구,인하대,전국}>" 0.1248
"600" "<{인하대,전국},{대학,서울대,연구,인하대,전국}>" 0.104
"601" "<{서울대,인하대},{대학,서울대,연구,인하대,전국}>" 0.1008
"602" "<{대학,인하대},{대학,서울대,연구,인하대,전국}>" 0.1216
"603" "<{대학,사업,연구,인하대,전국}>" 0.1184
"604" "<{전국},{대학,연구,인하대,전국}>" 0.112
"605" "<{인하대},{대학,연구,인하대,전국}>" 0.1808
"606" "<{서울대},{대학,연구,인하대,전국}>" 0.104
"607" "<{대학},{대학,연구,인하대,전국}>" 0.1344
"608" "<{인하대,전국},{대학,연구,인하대,전국}>" 0.112
"609" "<{대학,전국},{대학,연구,인하대,전국}>" 0.1056
"610" "<{대학,인하대,전국},{대학,연구,인하대,전국}>" 0.1056
"611" "<{서울대,인하대},{대학,연구,인하대,전국}>" 0.104
"612" "<{대학,인하대},{대학,연구,인하대,전국}>" 0.1312
"613" "<{대학,서울대,인하대},{대학,연구,인하대,전국}>" 0.1008
"614" "<{대학,서울대},{대학,연구,인하대,전국}>" 0.1008
"615" "<{전국},{센터,인하대,전국}>" 0.16
"616" "<{인하대},{센터,인하대,전국}>" 0.232
"617" "<{센터},{센터,인하대,전국}>" 0.1152
"618" "<{서울대},{센터,인하대,전국}>" 0.1568
"619" "<{대학},{센터,인하대,전국}>" 0.1872
"620" "<{서울대,센터,인하대,전국}>" 0.3408
"621" "<{사업,센터,인하대,전국}>" 0.1232
"622" "<{대학,센터,인하대,전국}>" 0.3792
"623" "<{센터,공동,인하대,전국}>" 0.104
"624" "<{인하대,전국},{센터,인하대,전국}>" 0.16
"625" "<{센터,전국},{센터,인하대,전국}>" 0.112
"626" "<{서울대,전국},{센터,인하대,전국}>" 0.1424
"627" "<{대학,전국},{센터,인하대,전국}>" 0.1552
"628" "<{센터,인하대,전국},{센터,인하대,전국}>" 0.112
"629" "<{서울대,인하대,전국},{센터,인하대,전국}>" 0.1424
"630" "<{대학,인하대,전국},{센터,인하대,전국}>" 0.1552
"631" "<{서울대,센터,인하대,전국},{센터,인하대,전국}>" 0.1008
"632" "<{대학,센터,인하대,전국},{센터,인하대,전국}>" 0.1104
"633" "<{대학,서울대,센터,인하대,전국},{센터,인하대,전국}>" 0.1008
"634" "<{대학,서울대,인하대,전국},{센터,인하대,전국}>" 0.1408
"635" "<{서울대,센터,전국},{센터,인하대,전국}>" 0.1008
"636" "<{대학,센터,전국},{센터,인하대,전국}>" 0.1104
"637" "<{대학,서울대,센터,전국},{센터,인하대,전국}>" 0.1008
"638" "<{대학,서울대,전국},{센터,인하대,전국}>" 0.1408
"639" "<{센터,인하대},{센터,인하대,전국}>" 0.1152
"640" "<{서울대,인하대},{센터,인하대,전국}>" 0.1568
"641" "<{대학,인하대},{센터,인하대,전국}>" 0.1856
"642" "<{서울대,센터,인하대},{센터,인하대,전국}>" 0.104
"643" "<{대학,센터,인하대},{센터,인하대,전국}>" 0.1136
"644" "<{대학,서울대,센터,인하대},{센터,인하대,전국}>" 0.104
"645" "<{대학,서울대,인하대},{센터,인하대,전국}>" 0.1552
"646" "<{서울대,센터},{센터,인하대,전국}>" 0.104
"647" "<{대학,센터},{센터,인하대,전국}>" 0.1136
"648" "<{대학,서울대,센터},{센터,인하대,전국}>" 0.104
"649" "<{대학,서울대},{센터,인하대,전국}>" 0.1552
"650" "<{전국},{서울대,센터,인하대,전국}>" 0.1504
"651" "<{인하대},{서울대,센터,인하대,전국}>" 0.208
"652" "<{센터},{서울대,센터,인하대,전국}>" 0.1088
"653" "<{서울대},{서울대,센터,인하대,전국}>" 0.1504
"654" "<{대학},{서울대,센터,인하대,전국}>" 0.176
"655" "<{사업,서울대,센터,인하대,전국}>" 0.1152
"656" "<{대학,서울대,센터,인하대,전국}>" 0.3408
"657" "<{인하대,전국},{서울대,센터,인하대,전국}>" 0.1504
"658" "<{센터,전국},{서울대,센터,인하대,전국}>" 0.1056
"659" "<{서울대,전국},{서울대,센터,인하대,전국}>" 0.1376
"660" "<{대학,전국},{서울대,센터,인하대,전국}>" 0.1456
"661" "<{센터,인하대,전국},{서울대,센터,인하대,전국}>" 0.1056
"662" "<{서울대,인하대,전국},{서울대,센터,인하대,전국}>" 0.1376
"663" "<{대학,인하대,전국},{서울대,센터,인하대,전국}>" 0.1456
"664" "<{대학,센터,인하대,전국},{서울대,센터,인하대,전국}>" 0.104
"665" "<{대학,서울대,인하대,전국},{서울대,센터,인하대,전국}>" 0.136
"666" "<{대학,센터,전국},{서울대,센터,인하대,전국}>" 0.104
"667" "<{대학,서울대,전국},{서울대,센터,인하대,전국}>" 0.136
"668" "<{센터,인하대},{서울대,센터,인하대,전국}>" 0.1088
"669" "<{서울대,인하대},{서울대,센터,인하대,전국}>" 0.1504
"670" "<{대학,인하대},{서울대,센터,인하대,전국}>" 0.1744
"671" "<{서울대,센터,인하대},{서울대,센터,인하대,전국}>" 0.1008
"672" "<{대학,센터,인하대},{서울대,센터,인하대,전국}>" 0.1072
"673" "<{대학,서울대,센터,인하대},{서울대,센터,인하대,전국}>" 0.1008
"674" "<{대학,서울대,인하대},{서울대,센터,인하대,전국}>" 0.1488
"675" "<{서울대,센터},{서울대,센터,인하대,전국}>" 0.1008
"676" "<{대학,센터},{서울대,센터,인하대,전국}>" 0.1072
"677" "<{대학,서울대,센터},{서울대,센터,인하대,전국}>" 0.1008
"678" "<{대학,서울대},{서울대,센터,인하대,전국}>" 0.1488
"679" "<{대학,사업,서울대,센터,인하대,전국}>" 0.1152
"680" "<{전국},{대학,서울대,센터,인하대,전국}>" 0.1504
"681" "<{인하대},{대학,서울대,센터,인하대,전국}>" 0.208
"682" "<{센터},{대학,서울대,센터,인하대,전국}>" 0.1088
"683" "<{서울대},{대학,서울대,센터,인하대,전국}>" 0.1504
"684" "<{대학},{대학,서울대,센터,인하대,전국}>" 0.176
"685" "<{인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.1504
"686" "<{센터,전국},{대학,서울대,센터,인하대,전국}>" 0.1056
"687" "<{서울대,전국},{대학,서울대,센터,인하대,전국}>" 0.1376
"688" "<{대학,전국},{대학,서울대,센터,인하대,전국}>" 0.1456
"689" "<{센터,인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.1056
"690" "<{서울대,인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.1376
"691" "<{대학,인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.1456
"692" "<{대학,센터,인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.104
"693" "<{대학,서울대,인하대,전국},{대학,서울대,센터,인하대,전국}>" 0.136
"694" "<{대학,센터,전국},{대학,서울대,센터,인하대,전국}>" 0.104
"695" "<{대학,서울대,전국},{대학,서울대,센터,인하대,전국}>" 0.136
"696" "<{센터,인하대},{대학,서울대,센터,인하대,전국}>" 0.1088
"697" "<{서울대,인하대},{대학,서울대,센터,인하대,전국}>" 0.1504
"698" "<{대학,인하대},{대학,서울대,센터,인하대,전국}>" 0.1744
"699" "<{서울대,센터,인하대},{대학,서울대,센터,인하대,전국}>" 0.1008
"700" "<{대학,센터,인하대},{대학,서울대,센터,인하대,전국}>" 0.1072
"701" "<{대학,서울대,센터,인하대},{대학,서울대,센터,인하대,전국}>" 0.1008
"702" "<{대학,서울대,인하대},{대학,서울대,센터,인하대,전국}>" 0.1488
"703" "<{서울대,센터},{대학,서울대,센터,인하대,전국}>" 0.1008
"704" "<{대학,센터},{대학,서울대,센터,인하대,전국}>" 0.1072
"705" "<{대학,서울대,센터},{대학,서울대,센터,인하대,전국}>" 0.1008
"706" "<{대학,서울대},{대학,서울대,센터,인하대,전국}>" 0.1488
"707" "<{대학,사업,센터,인하대,전국}>" 0.1232
"708" "<{전국},{대학,센터,인하대,전국}>" 0.16
"709" "<{인하대},{대학,센터,인하대,전국}>" 0.2304
"710" "<{센터},{대학,센터,인하대,전국}>" 0.1152
"711" "<{서울대},{대학,센터,인하대,전국}>" 0.1568
"712" "<{대학},{대학,센터,인하대,전국}>" 0.1872
"713" "<{대학,센터,공동,인하대,전국}>" 0.104
"714" "<{인하대,전국},{대학,센터,인하대,전국}>" 0.16
"715" "<{센터,전국},{대학,센터,인하대,전국}>" 0.112
"716" "<{서울대,전국},{대학,센터,인하대,전국}>" 0.1424
"717" "<{대학,전국},{대학,센터,인하대,전국}>" 0.1552
"718" "<{센터,인하대,전국},{대학,센터,인하대,전국}>" 0.112
"719" "<{서울대,인하대,전국},{대학,센터,인하대,전국}>" 0.1424
"720" "<{대학,인하대,전국},{대학,센터,인하대,전국}>" 0.1552
"721" "<{서울대,센터,인하대,전국},{대학,센터,인하대,전국}>" 0.1008
"722" "<{대학,센터,인하대,전국},{대학,센터,인하대,전국}>" 0.1104
"723" "<{대학,서울대,센터,인하대,전국},{대학,센터,인하대,전국}>" 0.1008
"724" "<{대학,서울대,인하대,전국},{대학,센터,인하대,전국}>" 0.1408
"725" "<{서울대,센터,전국},{대학,센터,인하대,전국}>" 0.1008
"726" "<{대학,센터,전국},{대학,센터,인하대,전국}>" 0.1104
"727" "<{대학,서울대,센터,전국},{대학,센터,인하대,전국}>" 0.1008
"728" "<{대학,서울대,전국},{대학,센터,인하대,전국}>" 0.1408
"729" "<{센터,인하대},{대학,센터,인하대,전국}>" 0.1152
"730" "<{서울대,인하대},{대학,센터,인하대,전국}>" 0.1568
"731" "<{대학,인하대},{대학,센터,인하대,전국}>" 0.1856
"732" "<{서울대,센터,인하대},{대학,센터,인하대,전국}>" 0.104
"733" "<{대학,센터,인하대},{대학,센터,인하대,전국}>" 0.1136
"734" "<{대학,서울대,센터,인하대},{대학,센터,인하대,전국}>" 0.104
"735" "<{대학,서울대,인하대},{대학,센터,인하대,전국}>" 0.1552
"736" "<{서울대,센터},{대학,센터,인하대,전국}>" 0.104
"737" "<{대학,센터},{대학,센터,인하대,전국}>" 0.1136
"738" "<{대학,서울대,센터},{대학,센터,인하대,전국}>" 0.104
"739" "<{대학,서울대},{대학,센터,인하대,전국}>" 0.1552
"740" "<{전국},{서울대,인하대,전국}>" 0.208
"741" "<{인하대},{서울대,인하대,전국}>" 0.3184
"742" "<{연구},{서울대,인하대,전국}>" 0.1104
"743" "<{센터},{서울대,인하대,전국}>" 0.1408
"744" "<{서울대},{서울대,인하대,전국}>" 0.2032
"745" "<{대학},{서울대,인하대,전국}>" 0.2448
"746" "<{사업,서울대,인하대,전국}>" 0.1584
"747" "<{대학,서울대,인하대,전국}>" 0.4912
"748" "<{서울대,공동,인하대,전국}>" 0.1024
"749" "<{인하대,전국},{서울대,인하대,전국}>" 0.208
"750" "<{연구,전국},{서울대,인하대,전국}>" 0.1088
"751" "<{센터,전국},{서울대,인하대,전국}>" 0.136
"752" "<{서울대,전국},{서울대,인하대,전국}>" 0.1872
"753" "<{대학,전국},{서울대,인하대,전국}>" 0.2
"754" "<{연구,인하대,전국},{서울대,인하대,전국}>" 0.1088
"755" "<{센터,인하대,전국},{서울대,인하대,전국}>" 0.136
"756" "<{서울대,인하대,전국},{서울대,인하대,전국}>" 0.1872
"757" "<{대학,인하대,전국},{서울대,인하대,전국}>" 0.2
"758" "<{대학,연구,인하대,전국},{서울대,인하대,전국}>" 0.1072
"759" "<{서울대,센터,인하대,전국},{서울대,인하대,전국}>" 0.1248
"760" "<{대학,센터,인하대,전국},{서울대,인하대,전국}>" 0.1344
"761" "<{대학,서울대,센터,인하대,전국},{서울대,인하대,전국}>" 0.1248
"762" "<{대학,서울대,인하대,전국},{서울대,인하대,전국}>" 0.184
"763" "<{대학,연구,전국},{서울대,인하대,전국}>" 0.1072
"764" "<{서울대,센터,전국},{서울대,인하대,전국}>" 0.1248
"765" "<{대학,센터,전국},{서울대,인하대,전국}>" 0.1344
"766" "<{대학,서울대,센터,전국},{서울대,인하대,전국}>" 0.1248
"767" "<{대학,서울대,전국},{서울대,인하대,전국}>" 0.184
"768" "<{연구,인하대},{서울대,인하대,전국}>" 0.1104
"769" "<{센터,인하대},{서울대,인하대,전국}>" 0.1408
"770" "<{서울대,인하대},{서울대,인하대,전국}>" 0.2032
"771" "<{대학,인하대},{서울대,인하대,전국}>" 0.2416
"772" "<{서울대,연구,인하대},{서울대,인하대,전국}>" 0.1008
"773" "<{대학,연구,인하대},{서울대,인하대,전국}>" 0.1088
"774" "<{서울대,센터,인하대},{서울대,인하대,전국}>" 0.128
"775" "<{대학,센터,인하대},{서울대,인하대,전국}>" 0.1376
"776" "<{대학,서울대,센터,인하대},{서울대,인하대,전국}>" 0.128
"777" "<{대학,서울대,인하대},{서울대,인하대,전국}>" 0.1984
"778" "<{서울대,연구},{서울대,인하대,전국}>" 0.1008
"779" "<{대학,연구},{서울대,인하대,전국}>" 0.1088
"780" "<{서울대,센터},{서울대,인하대,전국}>" 0.128
"781" "<{대학,센터},{서울대,인하대,전국}>" 0.1376
"782" "<{대학,서울대,센터},{서울대,인하대,전국}>" 0.128
"783" "<{대학,서울대},{서울대,인하대,전국}>" 0.1984
"784" "<{대학,사업,서울대,인하대,전국}>" 0.1584
"785" "<{전국},{대학,서울대,인하대,전국}>" 0.2016
"786" "<{인하대},{대학,서울대,인하대,전국}>" 0.3104
"787" "<{연구},{대학,서울대,인하대,전국}>" 0.1056
"788" "<{센터},{대학,서울대,인하대,전국}>" 0.1344
"789" "<{서울대},{대학,서울대,인하대,전국}>" 0.1968
"790" "<{대학},{대학,서울대,인하대,전국}>" 0.2368
"791" "<{대학,서울대,공동,인하대,전국}>" 0.1024
"792" "<{인하대,전국},{대학,서울대,인하대,전국}>" 0.2016
"793" "<{연구,전국},{대학,서울대,인하대,전국}>" 0.104
"794" "<{센터,전국},{대학,서울대,인하대,전국}>" 0.1296
"795" "<{서울대,전국},{대학,서울대,인하대,전국}>" 0.1808
"796" "<{대학,전국},{대학,서울대,인하대,전국}>" 0.1936
"797" "<{연구,인하대,전국},{대학,서울대,인하대,전국}>" 0.104
"798" "<{센터,인하대,전국},{대학,서울대,인하대,전국}>" 0.1296
"799" "<{서울대,인하대,전국},{대학,서울대,인하대,전국}>" 0.1808
"800" "<{대학,인하대,전국},{대학,서울대,인하대,전국}>" 0.1936
"801" "<{대학,연구,인하대,전국},{대학,서울대,인하대,전국}>" 0.1024
"802" "<{서울대,센터,인하대,전국},{대학,서울대,인하대,전국}>" 0.1184
"803" "<{대학,센터,인하대,전국},{대학,서울대,인하대,전국}>" 0.128
"804" "<{대학,서울대,센터,인하대,전국},{대학,서울대,인하대,전국}>" 0.1184
"805" "<{대학,서울대,인하대,전국},{대학,서울대,인하대,전국}>" 0.1776
"806" "<{대학,연구,전국},{대학,서울대,인하대,전국}>" 0.1024
"807" "<{서울대,센터,전국},{대학,서울대,인하대,전국}>" 0.1184
"808" "<{대학,센터,전국},{대학,서울대,인하대,전국}>" 0.128
"809" "<{대학,서울대,센터,전국},{대학,서울대,인하대,전국}>" 0.1184
"810" "<{대학,서울대,전국},{대학,서울대,인하대,전국}>" 0.1776
"811" "<{연구,인하대},{대학,서울대,인하대,전국}>" 0.1056
"812" "<{센터,인하대},{대학,서울대,인하대,전국}>" 0.1344
"813" "<{서울대,인하대},{대학,서울대,인하대,전국}>" 0.1968
"814" "<{대학,인하대},{대학,서울대,인하대,전국}>" 0.2336
"815" "<{대학,연구,인하대},{대학,서울대,인하대,전국}>" 0.104
"816" "<{서울대,센터,인하대},{대학,서울대,인하대,전국}>" 0.1216
"817" "<{대학,센터,인하대},{대학,서울대,인하대,전국}>" 0.1312
"818" "<{대학,서울대,센터,인하대},{대학,서울대,인하대,전국}>" 0.1216
"819" "<{대학,서울대,인하대},{대학,서울대,인하대,전국}>" 0.192
"820" "<{대학,연구},{대학,서울대,인하대,전국}>" 0.104
"821" "<{서울대,센터},{대학,서울대,인하대,전국}>" 0.1216
"822" "<{대학,센터},{대학,서울대,인하대,전국}>" 0.1312
"823" "<{대학,서울대,센터},{대학,서울대,인하대,전국}>" 0.1216
"824" "<{대학,서울대},{대학,서울대,인하대,전국}>" 0.192
"825" "<{대학,사업,인하대,전국}>" 0.1696
"826" "<{학교},{대학,인하대,전국}>" 0.1088
"827" "<{전국},{대학,인하대,전국}>" 0.2272
"828" "<{인하대},{대학,인하대,전국}>" 0.368
"829" "<{인하},{대학,인하대,전국}>" 0.1184
"830" "<{오늘},{대학,인하대,전국}>" 0.1088
"831" "<{연구},{대학,인하대,전국}>" 0.1184
"832" "<{센터},{대학,인하대,전국}>" 0.152
"833" "<{서울대},{대학,인하대,전국}>" 0.216
"834" "<{대학},{대학,인하대,전국}>" 0.2704
"835" "<{대학,공동,인하대,전국}>" 0.1168
"836" "<{인하대,전국},{대학,인하대,전국}>" 0.2272
"837" "<{연구,전국},{대학,인하대,전국}>" 0.1168
"838" "<{센터,전국},{대학,인하대,전국}>" 0.1472
"839" "<{서울대,전국},{대학,인하대,전국}>" 0.1968
"840" "<{대학,전국},{대학,인하대,전국}>" 0.2176
"841" "<{연구,인하대,전국},{대학,인하대,전국}>" 0.1168
"842" "<{센터,인하대,전국},{대학,인하대,전국}>" 0.1472
"843" "<{서울대,인하대,전국},{대학,인하대,전국}>" 0.1968
"844" "<{대학,인하대,전국},{대학,인하대,전국}>" 0.2176
"845" "<{서울대,연구,인하대,전국},{대학,인하대,전국}>" 0.1008
"846" "<{대학,연구,인하대,전국},{대학,인하대,전국}>" 0.1152
"847" "<{서울대,센터,인하대,전국},{대학,인하대,전국}>" 0.1296
"848" "<{대학,센터,인하대,전국},{대학,인하대,전국}>" 0.1456
"849" "<{대학,서울대,센터,인하대,전국},{대학,인하대,전국}>" 0.1296
"850" "<{대학,서울대,인하대,전국},{대학,인하대,전국}>" 0.192
"851" "<{서울대,연구,전국},{대학,인하대,전국}>" 0.1008
"852" "<{대학,연구,전국},{대학,인하대,전국}>" 0.1152
"853" "<{서울대,센터,전국},{대학,인하대,전국}>" 0.1296
"854" "<{대학,센터,전국},{대학,인하대,전국}>" 0.1456
"855" "<{대학,서울대,센터,전국},{대학,인하대,전국}>" 0.1296
"856" "<{대학,서울대,전국},{대학,인하대,전국}>" 0.192
"857" "<{인하,인하대},{대학,인하대,전국}>" 0.1184
"858" "<{연구,인하대},{대학,인하대,전국}>" 0.1184
"859" "<{센터,인하대},{대학,인하대,전국}>" 0.152
"860" "<{서울대,인하대},{대학,인하대,전국}>" 0.216
"861" "<{대학,인하대},{대학,인하대,전국}>" 0.2672
"862" "<{서울대,연구,인하대},{대학,인하대,전국}>" 0.1024
"863" "<{대학,연구,인하대},{대학,인하대,전국}>" 0.1168
"864" "<{대학,서울대,연구,인하대},{대학,인하대,전국}>" 0.1008
"865" "<{서울대,센터,인하대},{대학,인하대,전국}>" 0.1328
"866" "<{대학,센터,인하대},{대학,인하대,전국}>" 0.1488
"867" "<{대학,서울대,센터,인하대},{대학,인하대,전국}>" 0.1328
"868" "<{대학,서울대,인하대},{대학,인하대,전국}>" 0.2096
"869" "<{서울대,연구},{대학,인하대,전국}>" 0.1024
"870" "<{대학,연구},{대학,인하대,전국}>" 0.1168
"871" "<{대학,서울대,연구},{대학,인하대,전국}>" 0.1008
"872" "<{서울대,센터},{대학,인하대,전국}>" 0.1328
"873" "<{대학,센터},{대학,인하대,전국}>" 0.1488
"874" "<{대학,서울대,센터},{대학,인하대,전국}>" 0.1328
"875" "<{대학,서울대},{대학,인하대,전국}>" 0.2096
"876" "<{인하대},{인하,전국}>" 0.1344
"877" "<{대학},{인하,전국}>" 0.1024
"878" "<{센터,인하,전국}>" 0.1488
"879" "<{서울대,인하,전국}>" 0.1936
"880" "<{대학,인하,전국}>" 0.2352
"881" "<{대학,인하대},{인하,전국}>" 0.1024
"882" "<{서울대,센터,인하,전국}>" 0.1232
"883" "<{대학,센터,인하,전국}>" 0.1488
"884" "<{대학,서울대,센터,인하,전국}>" 0.1232
"885" "<{인하대},{서울대,인하,전국}>" 0.1072
"886" "<{대학,서울대,인하,전국}>" 0.1904
"887" "<{인하대},{대학,서울대,인하,전국}>" 0.1056
"888" "<{인하대},{대학,인하,전국}>" 0.1312
"889" "<{대학},{대학,인하,전국}>" 0.1008
"890" "<{대학,인하대},{대학,인하,전국}>" 0.1008
"891" "<{연구,이상,전국}>" 0.1024
"892" "<{서울대,이상,전국}>" 0.136
"893" "<{대학,이상,전국}>" 0.1312
"894" "<{서울대,연구,이상,전국}>" 0.1024
"895" "<{대학,연구,이상,전국}>" 0.1008
"896" "<{대학,서울대,연구,이상,전국}>" 0.1008
"897" "<{대학,서울대,이상,전국}>" 0.1312
"898" "<{대학,오늘,전국}>" 0.112
"899" "<{전국},{연구,전국}>" 0.1136
"900" "<{인하대},{연구,전국}>" 0.1824
"901" "<{서울대},{연구,전국}>" 0.1056
"902" "<{대학},{연구,전국}>" 0.136
"903" "<{센터,연구,전국}>" 0.2464
"904" "<{서울대,연구,전국}>" 0.2976
"905" "<{사업,연구,전국}>" 0.1184
"906" "<{대학,연구,전국}>" 0.3232
"907" "<{인하대,전국},{연구,전국}>" 0.1136
"908" "<{대학,전국},{연구,전국}>" 0.1072
"909" "<{대학,인하대,전국},{연구,전국}>" 0.1072
"910" "<{서울대,인하대},{연구,전국}>" 0.1056
"911" "<{대학,인하대},{연구,전국}>" 0.1328
"912" "<{대학,서울대,인하대},{연구,전국}>" 0.1024
"913" "<{대학,서울대},{연구,전국}>" 0.1024
"914" "<{인하대},{센터,연구,전국}>" 0.136
"915" "<{대학},{센터,연구,전국}>" 0.1104
"916" "<{서울대,센터,연구,전국}>" 0.2304
"917" "<{대학,센터,연구,전국}>" 0.2464
"918" "<{대학,인하대},{센터,연구,전국}>" 0.1088
"919" "<{인하대},{서울대,센터,연구,전국}>" 0.1248
"920" "<{대학},{서울대,센터,연구,전국}>" 0.104
"921" "<{대학,서울대,센터,연구,전국}>" 0.2304
"922" "<{대학,인하대},{서울대,센터,연구,전국}>" 0.1024
"923" "<{인하대},{대학,서울대,센터,연구,전국}>" 0.1248
"924" "<{대학},{대학,서울대,센터,연구,전국}>" 0.104
"925" "<{대학,인하대},{대학,서울대,센터,연구,전국}>" 0.1024
"926" "<{인하대},{대학,센터,연구,전국}>" 0.136
"927" "<{대학},{대학,센터,연구,전국}>" 0.1104
"928" "<{대학,인하대},{대학,센터,연구,전국}>" 0.1088
"929" "<{전국},{서울대,연구,전국}>" 0.1056
"930" "<{인하대},{서울대,연구,전국}>" 0.1648
"931" "<{서울대},{서울대,연구,전국}>" 0.1024
"932" "<{대학},{서울대,연구,전국}>" 0.1264
"933" "<{사업,서울대,연구,전국}>" 0.1136
"934" "<{대학,서울대,연구,전국}>" 0.2976
"935" "<{인하대,전국},{서울대,연구,전국}>" 0.1056
"936" "<{서울대,인하대},{서울대,연구,전국}>" 0.1024
"937" "<{대학,인하대},{서울대,연구,전국}>" 0.1232
"938" "<{대학,사업,서울대,연구,전국}>" 0.1136
"939" "<{전국},{대학,서울대,연구,전국}>" 0.104
"940" "<{인하대},{대학,서울대,연구,전국}>" 0.1632
"941" "<{서울대},{대학,서울대,연구,전국}>" 0.1008
"942" "<{대학},{대학,서울대,연구,전국}>" 0.1248
"943" "<{인하대,전국},{대학,서울대,연구,전국}>" 0.104
"944" "<{서울대,인하대},{대학,서울대,연구,전국}>" 0.1008
"945" "<{대학,인하대},{대학,서울대,연구,전국}>" 0.1216
"946" "<{대학,사업,연구,전국}>" 0.1184
"947" "<{전국},{대학,연구,전국}>" 0.112
"948" "<{인하대},{대학,연구,전국}>" 0.1808
"949" "<{서울대},{대학,연구,전국}>" 0.104
